image,rule_group,whiteness,edge,color,horizontal,texture
E:\RC11\term 2\draft\3.1\G1_structural_design\8d3b93e40a.jpg,1,0.844635665,0.156233087,0.00024995,0.493582875,0.00337382
E:\RC11\term 2\draft\3.1\G1_structural_design\8d3bfc72ca.jpg,1,0.778462648,0.098448798,0.00201708,0.494235814,0.001973279
E:\RC11\term 2\draft\3.1\G1_structural_design\8db14652c0.jpg,1,0.877053916,0.110640116,0.004646538,0.530749679,0.001183835
E:\RC11\term 2\draft\3.1\G1_structural_design\8fddfbfe27.jpg,1,0.721771777,0.158009827,0.006865029,0.519031286,0.004813707
E:\RC11\term 2\draft\3.1\G1_structural_design\91b4557dc3.jpg,1,0.893613935,0.061308533,0.00547556,0.514832377,0.000601179
E:\RC11\term 2\draft\3.1\G1_structural_design\921e174cca.jpg,1,0.804514647,0.158336118,0.002317028,0.500344932,0.007978471
E:\RC11\term 2\draft\3.1\G1_structural_design\94c1c81772.jpg,1,0.859891117,0.118882574,0.007479098,0.482373059,0.001695774
E:\RC11\term 2\draft\3.1\G1_structural_design\95e81bdfc4.jpg,1,0.90489018,0.068515599,0.003291732,0.524958134,0.000579632
E:\RC11\term 2\draft\3.1\G1_structural_design\96ce67eb97.jpg,1,0.888754547,0.103548013,0.005312591,0.524643719,0.001362351
E:\RC11\term 2\draft\3.1\G1_structural_design\96cfdf850f.jpg,1,0.809773445,0.153370753,0.005965904,0.495287895,0.004322396
E:\RC11\term 2\draft\3.1\G1_structural_design\98dd32f3ea.jpg,1,0.883867741,0.081554145,0.001525396,0.48974824,0.000935265
